batting_team,batsman,Total_Runs,No_Of_Innings,Batting_Average
Delhi Daredevils,AD Russell,58.0,4,14.5
Delhi Daredevils,AJ Finch,102.0,6,17.0
Delhi Daredevils,B Chipli,16.0,1,16.0
Delhi Daredevils,BJ Rohrer,193.0,6,32.166666666666664
Delhi Daredevils,BMAJ Mendis,23.0,2,11.5
Delhi Daredevils,CA Ingram,21.0,2,10.5
Delhi Daredevils,CH Morris,195.0,4,48.75
Delhi Daredevils,CM Gautam,48.0,3,16.0
Delhi Daredevils,CR Brathwaite,83.0,6,13.833333333333334
Delhi Daredevils,DA Warner,1435.0,46,31.195652173913043
Delhi Daredevils,DJ Muthuswami,1.0,1,1.0
Delhi Daredevils,DL Vettori,67.0,3,22.333333333333332
Delhi Daredevils,DP Nannes,4.0,1,4.0
Delhi Daredevils,DPMD Jayawardene,666.0,24,27.75
Delhi Daredevils,G Gambhir,1097.0,30,36.56666666666667
Delhi Daredevils,GD McGrath,4.0,1,4.0
Delhi Daredevils,GJ Maxwell,6.0,1,6.0
Delhi Daredevils,IK Pathan,479.0,20,23.95
Delhi Daredevils,Imran Tahir,18.0,4,4.5
Delhi Daredevils,J Botha,43.0,6,7.166666666666667
Delhi Daredevils,JA Morkel,86.0,1,86.0
Delhi Daredevils,JDS Neesham,42.0,3,14.0
Delhi Daredevils,JP Duminy,1015.0,23,44.130434782608695
Delhi Daredevils,JR Hopes,196.0,4,49.0
Delhi Daredevils,KD Karthik,1036.0,39,26.564102564102566
Delhi Daredevils,KK Nair,357.0,11,32.45454545454545
Delhi Daredevils,KM Jadhav,566.0,21,26.952380952380953
Delhi Daredevils,KP Pietersen,599.0,15,39.93333333333333
Delhi Daredevils,LR Shukla,31.0,3,10.333333333333334
Delhi Daredevils,LRPL Taylor,256.0,10,25.6
Delhi Daredevils,M Manhas,232.0,7,33.142857142857146
Delhi Daredevils,M Morkel,100.0,5,20.0
Delhi Daredevils,M Vijay,207.0,10,20.7
Delhi Daredevils,MA Agarwal,355.0,18,19.72222222222222
Delhi Daredevils,MC Henriques,11.0,1,11.0
Delhi Daredevils,MC Juneja,125.0,7,17.857142857142858
Delhi Daredevils,MF Maharoof,177.0,9,19.666666666666668
