match_id,batting_team,bowling_team,batsman,Balls_Played,Total_Runs
277,Mumbai Indians,Kings XI Punjab,Harbhajan Singh,3,4
3,Rajasthan Royals,Delhi Daredevils,T Kohli,13,7
302,Chennai Super Kings,Rajasthan Royals,S Anirudha,8,18
33,Kolkata Knight Riders,Deccan Chargers,DJ Hussey,29,57
363,Chennai Super Kings,Pune Warriors,SK Raina,50,63
367,Royal Challengers Bangalore,Pune Warriors,AB de Villiers,23,50
370,Royal Challengers Bangalore,Kings XI Punjab,AB de Villiers,2,6
376,Sunrisers Hyderabad,Chennai Super Kings,PA Patel,32,44
391,Kings XI Punjab,Mumbai Indians,Gurkeerat Singh,1,0
408,Chennai Super Kings,Rajasthan Royals,R Ashwin,16,9
454,Mumbai Indians,Rajasthan Royals,KA Pollard,3,7
465,Kings XI Punjab,Mumbai Indians,GJ Maxwell,4,6
470,Rajasthan Royals,Sunrisers Hyderabad,STR Binny,14,16
477,Rajasthan Royals,Kings XI Punjab,DJ Hooda,9,19
48,Royal Challengers Bangalore,Chennai Super Kings,Misbah-ul-Haq,6,4
482,Mumbai Indians,Sunrisers Hyderabad,UBT Chand,4,5
498,Kings XI Punjab,Royal Challengers Bangalore,GJ Bailey,4,2
500,Chennai Super Kings,Mumbai Indians,P Negi,18,36
503,Royal Challengers Bangalore,Mumbai Indians,AB de Villiers,61,133
51,Chennai Super Kings,Rajasthan Royals,S Badrinath,2,1
511,Rajasthan Royals,Kolkata Knight Riders,SPD Smith,11,14
521,Sunrisers Hyderabad,Royal Challengers Bangalore,MC Henriques,24,19
530,Kings XI Punjab,Kolkata Knight Riders,WP Saha,15,8
553,Delhi Daredevils,Kings XI Punjab,KK Nair,26,23
567,Kings XI Punjab,Royal Challengers Bangalore,MM Sharma,12,14
62,Kolkata Knight Riders,Deccan Chargers,I Sharma,9,9
71,Rajasthan Royals,Kings XI Punjab,AS Raut,4,1
75,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,12,19
140,Deccan Chargers,Mumbai Indians,A Symonds,7,1
140,Mumbai Indians,Deccan Chargers,S Dhawan,13,8
144,Delhi Daredevils,Rajasthan Royals,PD Collingwood,8,16
170,Deccan Chargers,Delhi Daredevils,TL Suman,6,5
192,Rajasthan Royals,Kolkata Knight Riders,AS Raut,15,11
202,Kochi Tuskers Kerala,Rajasthan Royals,DPMD Jayawardene,14,13
212,Pune Warriors,Rajasthan Royals,RV Uthappa,21,35
227,Deccan Chargers,Pune Warriors,B Chipli,14,18
246,Kolkata Knight Riders,Mumbai Indians,SP Goswami,3,0
247,Royal Challengers Bangalore,Mumbai Indians,LA Pomersbach,5,4
286,Delhi Daredevils,Rajasthan Royals,Y Nagar,21,27
307,Kings XI Punjab,Deccan Chargers,SD Chitnis,14,11
310,Delhi Daredevils,Kings XI Punjab,V Sehwag,9,8
310,Kings XI Punjab,Delhi Daredevils,Mandeep Singh,12,21
313,Delhi Daredevils,Royal Challengers Bangalore,AD Russell,16,31
329,Sunrisers Hyderabad,Royal Challengers Bangalore,PA Reddy,22,23
36,Delhi Daredevils,Kolkata Knight Riders,A Mishra,32,31
384,Kings XI Punjab,Delhi Daredevils,M Vohra,11,8
414,Mumbai Indians,Delhi Daredevils,Harbhajan Singh,5,10
422,Royal Challengers Bangalore,Sunrisers Hyderabad,AB de Villiers,43,89
423,Rajasthan Royals,Kolkata Knight Riders,STR Binny,9,11
425,Mumbai Indians,Royal Challengers Bangalore,CM Gautam,31,30
427,Chennai Super Kings,Kings XI Punjab,F du Plessis,25,52
46,Kolkata Knight Riders,Rajasthan Royals,SC Ganguly,34,32
466,Royal Challengers Bangalore,Sunrisers Hyderabad,YS Chahal,1,1
467,Mumbai Indians,Rajasthan Royals,RG Sharma,5,0
468,Chennai Super Kings,Kolkata Knight Riders,A Nehra,4,1
470,Sunrisers Hyderabad,Rajasthan Royals,S Dhawan,13,10
